Domain;Number;Data Collection Field;Variable Name;Definition;Case Report Form Completion Instructions;Additional Information for Sponsors;CDASH Core;SDTM Mapping;SDTM Term Code
CM;4;Active Ingredient(s);CMINGRD;Medication Ingredients.;"•Prior to a subject’s clinical visit, remind all subjects to bring all medications bottles, packs etc. they are taking with them to
their clinical visit.
•Record all active ingredient(s) off the medication label and separate each ingredient with a comma for the name of drug medication or therapy taken.
For example, the medication Dolmen, if manufactured in Spain, the active ingredients should be reported as noted below:
Active Ingredient: Acetylsalicylic Acid, Ascorbic acid, codeine phosphate";"This may be collected in addition to the
“Medication / Therapy Name”. Collecting this provides more detailed information
when coding to a medication dictionary like
WHO Drug Enhanced format C which now codes to the ingredient level for many trade named medication.
For example, the medication Dolmen, depending on the country where it is manufactured, the active ingredients may be different.
Spain: Acetylsalicylic Acid, Ascorbic acid, codeine phosphate
Italy and Czech Republic: contains
Tenoxicam
Estonia and Latvia: contains Dexketoprofen trometamol";Optional;;
CM;5;Indication;CMINDC;"The reason for administration of a
concomitant (non-study) medication.
(e.g., Nausea, Hypertension)
This is not the pharmacological/ therapeutic classification of an agent (e.g., antibiotic, analgesic, etc.), but the reason for its administration to the subject.";"•Record the reason the medication was taken base on clinical investigator’s evaluation.
•If taken to treat a condition, and a diagnosis was made, the indication should be the diagnosis.
•If taken to treat a condition, and no diagnosis was made, the indication should be the signs and symptoms.
•If taken as prophylaxis, we recommend reporting as “Prophylaxis for…”.";"This additional information is collected on
the CRF when the sponsor would want to capture the reason(s) why a subject took a medication.
This information can then be used as deemed appropriate for coding, analysis (i.e., in the classification of medications), for reconciling the medications taken by a subject with their provided medical history and/or AEs/SAEs as part of the data clean- up and monitoring process, etc.";"Recommended/
Conditional";;
CM;6;AE Line #;CMAENO;"Identifier for the adverse event that is
the indication for this medication.";"•Record the AE line number of the Adverse
Event for which this medication was taken. The AE line number is located on
the Adverse Events CRF.
•If the medication is taken for multiple indications (i.e., multiple AEs, or Medical History condition), list the medication again with each indication as a new line or entry.";"Intent is to establish a link between the
adverse event and the medication taken for the adverse event, but there may be other
ways to collect this type of information.
Utilizing this variable to maintain a link to a sequence number associated with an AE
may result in unnecessary data cleaning work. Potential reconciliation issues occur for example, if the AE line number is deleted or a new AE is added due to a query
response or a correction by the clinical site or an AE verbatim is split for coding.
Note: CMAENO will not be included in the
SDTMIG CM domain in submissions.";Optional;;
CM;7;MH Line #;CMMHNO;"Identifier for the medical history
condition that is the indication for this medication.";"•Record the MH line number of the medical history event for which this medication
was taken. The MH line number is located on the Medical History CRF.
•If the medication is taken for multiple indications (i.e., multiple AEs, or Medical History condition), list the medication again with each indication as a new line or entry.";"Intent is to establish a link between the
medical history condition and the medication taken for the medical history condition, but there may be other ways to
collect this type of information.
Utilizing this variable to maintain a link to a sequence number associated with an MH condition may result in unnecessary data cleaning work. Potential reconciliation
issues occur for example, if the MH line number is deleted or a new MH is added
due to a query response or a correction by
the clinical site or an MH verbatim is split for coding.
Note: CMMHNO will not be included in the
SDTMIG CM domain in submissions.";Optional;;
CM;8;Dose;CMDSTXT;"The dose of medication taken per
 administration.";"Record the dose of medication taken per
 administration (e.g., 200).
Please do not record a dosing range (e.g.,
200-400) for dose.";"Where this level of dosing information is
required by a sponsor, this field may be included.
Defining this data collection field as a dose text field allows for flexibility in capturing text dose entries.
CMDSTXT is not a direct mapping to the SDTMIG variable CMDOSTXT. The data collected in this dose text-format field need to be separated or mapped to either SDTMIG CMDOSE if numeric or CMDOSTXT if text.";Optional;;
CM;9;Total Daily Dose;CMDOSTOT;Total daily dose taken.;"Record the total dose of medication taken
daily.";"In some clinical trials (such as Phase I),
individual doses are more likely to be collected. In clinical trials when dosing data
do not need to be that precise, e.g., in later
phase trials (such as Phase IV/post marketing trials), the total daily dose may
be all that is collected.
For general medication, it is not recommended to use “Total Daily Dose”. Instead, this can be calculated or derived from other fields such as Units, Dose, and Frequency to avoid confusion and calculation by the clinical site.";Optional;;
CM;14;Start Date;CMSTDAT;"Date when the medication was first
taken.";"•Record the date the medication or therapy was first taken using the CDASH- recommended date format (e.g., 08-AUG-
2008).  Best
Practice section.
•If the subject has been taking the medication for a considerable amount of time prior to the start of the study, it is acceptable to have an incomplete date. Medications taken during the study are expected to have a complete start date.
•Prior medications that are exclusionary should have both a start and end date";"The preferred method is to collect a
complete Start Date. Partial dates (i.e., providing year only) for medications started a considerable amount of time prior to the start of study are acceptable.
For the SDTM-based dataset, the SDTMIG variable CMSTDTC is derived by concatenating CDASH Start Date and Time (if time is collected) into CMSTDTC using the ISO 8601 format.";"Highly
Recommended";;
CM;15;" Mark if taken prior to
study";CMPRIOR;"To determine if medications were taken
prior to study start.";"Indicate if this medication or therapy was
started before the study or during the study.";"If instead of Start Date, information such as
BEFORE or DURING or AFTER is collected, this information is derived in the CMSTRF variable.";"Recommended/
Conditional";;
CM;16;Start Time;CMSTTIM;Time the medication was started.; Record the time (as complete as possible) that the medication or therapy was started. .;"Recommend collecting the time a medication was started when a protocol or data collection scenarios supports it. Typically, a start time is not collected
unless the subject is under the direct care of the site at the time a medication is taken.
For the SDTM-based dataset, the SDTMIG variable CMSTDTC is derived by concatenating CDASH Start Date and Time (if time is collected) into CMSTDTC using the ISO 8601 format.";Recommended/ Conditional;;
CM;17;End Date;CMENDAT; Date that the subject stopped taking the medication or therapy.;"Record the date the subject stopped taking the medication or therapy using the CDASH-recommended date format (e.g.,
08-AUG-2008).  Best
Practice section.
If the subject has not stopped taking the medication leave this field blank.";"The assumption is that sponsors should
either have a complete end date or will
indicate that the medication or therapy was
ongoing at the end of the study.
For the SDTM-based dataset, the
SDTMIG variable CMENDTC is derived
by concatenating CDASH End Date and
Time (if time is collected) into CMENDTC
using the ISO 8601 format.";Recommended/ Conditional;;
CM;19;End Time;CMENTIM;"Time when the subject stopped taking
the medication or therapy.";"Record the time (as complete as possible)
that the medication was stopped. .";"Recommend collecting the time a
medication was ended when a protocol or data collection scenarios supports it.
Typically, an end time is not collected unless the subject is under the direct care of the site at the time a medication is stopped.
For the SDTM-based dataset, the SDTMIG variable CMENDTC is derived by concatenating CDASH End Date and Time (if time is collected) into CMENDTC using the ISO 8601 format.";"Recommended/
Conditional";;
DM;1;" Date of Birth (and
time)";BRTHDAT;"A subject’s date of birth (with or
without the time of birth). The complete
Date of Birth is made from the temporal components of Birth Year, Birth Month, Birth Day and Birth Time.";"Record the date of birth to the level of
precision known (e.g., day/month/year, year, month/year, etc).";"The sponsor may choose to database as a
single variable BRTHDAT or separate
variables for each temporal component of
the date/time.
If subject has provided written authorization
(i.e., informed consent) for the reporting of
personal information, we consider the
reporting of a full and accurate date of birth
appropriate. This approach is generally
consistent with the privacy laws of most
countries.
See the Additional Information for
Sponsors for each of the temporal
components (rows 1a-1d) below.
Below are some examples of complete and
reduced precision when recording date of
birth:
• Subjects without birth records might only
be able to provide their date of birth to the
decade level (reduced precision -
imputation may be needed for analyses).
• Subjects in countries where privacy rules
preclude the collection of personal data
containing more detail than the year of
birth might only provide date of birth data
to the year level (reduced precision -
imputation may be needed for analyses).
Note: It is recommended that the CRF
should be modified for sites in these
counties to prevent the clinician from
entering the data that would violate the
privacy rule (i.e., gray out the month and
day fields on paper or make them
inaccessible for entry in an EDC system). • Subjects in most studies would provide
date of birth data to the day level of
precision. This would provide the
expected level of detail to perform agerelated
analyses (expected precision for
analyses requirements).
• In studies where the analyses would
require more precise knowledge of age,
such as pediatric, natal or neo-natal
studies, it would be necessary to collect
date of birth data to the hour level, even in
countries with privacy constraints
(expected precision for analyses
requirements). Note: Appropriate written
authorization from parent or guardian (i.e.,
informed consent) as well as IAB and
DPA (Data Protection Authority)
approvals may be required in these cases.
It is expected that what is collected for
BRTHDAT is reported for the SDTM
BRTHDTC in the ISO 8601 format. If data
are collected In a manner resulting in one of
the reduced precision levels noted above,
then the reported AGE (SDTM required
variable), if not collected on the CRF,
should be derived using a documented
algorithm that describes how the age was
derived and/or imputed for those birth dates
collected with reduced precision.
(See Section 5.6.1 Collection of Age vs.
Date of Birth and also Section 3.4. FAQs on
Best Practices for Creating Data Collection
Instruments)";"Highly
Recommended";;
DM;1a;Year of Birth;BRTHYR;Year of the subject’s birth.;"Record the subject’s year of birth (e.g.,
YYYY, a four digit year).";"Year of Birth is the collected variable used
for recording the year component of the
“Date of Birth”.
(See Section 5.6.1 Collection of Age vs. Date of Birth and also Section 3.4. FAQs on Best Practices for Creating Data Collection Instruments)";"Highly
Recommended";;
DM;1b; Month of Birth; BRTHMO; Text value for the month of the subject’s birth.;"Record the subject’s month of birth [e.g.,
(in local language short month format)
(JAN-DEC) or (ENE-DIE) or (JAN-DEZ),
Etc.].";"Month of Birth is the collected variable
used for recording the month component of
the “Date of Birth”.
The month of birth should be collected
unless an Ethics Committee or local Data
Protection Authorities (DPA) disagrees with
the collection of the complete date of birth
due to privacy concerns. In this case it
might be best to omit this component of the
“Date of Birth” to assuage those concerns.
(See Section 5.6.1 Collection of Age vs.
Date of Birth and also Section 3.4. FAQs on
Best Practices for Creating Data Collection
Instruments)";"Recommended/
Conditional";;
DM;1c; Day of Birth; BRTHDY; Numeric day of the month of the subject’s birth.;"Record the subject’s day of birth (e.g.,
01-31).";"Day of Birth is the collected variable used
for recording the day component of the
“Date of Birth”.
The day of birth should be collected unless
an Ethics Committee or local Data
Protection Authorities (DPA) disagrees with
the collection of the complete date of birth
due to privacy concerns. In this case it
might be best to omit this component of the
“Date of Birth” to assuage those concerns.
(See Section 5.6.1 Collection of Age vs.
Date of Birth and also Section 3.4. FAQs on
Best Practices for Creating Data Collection
Instruments)";"Recommended/
Conditional";;
DM;1d; Time of Birth; BRTHTIM ;Time of subject’s birth.;"Record the time of birth (as completely as
Possible).";"The level of detail collected by Time of
Birth may be necessary for analysis for
some pediatric, natal or neonatal studies.
(See Section 5.6.1 Collection of Age vs.
Date of Birth and also Section 3.4. FAQs on
Best Practices for Creating Data Collection
Instruments)";Optional;;
DM;2;Age;AGE;Numeric age of subject.;Record age of the subject.;"If Age is collected, it should be collected as
a number and, to be correctly interpreted, the age value needs to be associated to a
variable for the Age Unit. It may be
necessary to know when the age was collected as an age may need to be recalculated for analysis, such as deriving age at a reference start time (RFSTDTC for SDTM). If AGE is collected, then it is recommended that the date of collection also be recorded, either separately or by association to the date of the visit.
(See Section 5.6.1 Collection of Age vs. Date of Birth)";Optional;;
DM;4a;Today's date;DMDAT;Date of collection.;"Record the date the demographics data were
collected in the CDASH-recommended date format (e.g., 08-AUG-2008).";"The date of collection may be derived from
the date of visit and if so, a separate date field is not needed.
For the SDTM-based dataset, the SDTMIG variable DMDTC is derived by formatting the CDASH Date of collection into DMDTC using the ISO 8601 format.
(See AGE Additional Information for
Sponsors.)";"Recommended/
Conditional";;
DM;7;Race;RACE;"An arbitrary classification based on
physical characteristics; a group of persons related by common descent or
heredity (U.S. Center for Disease
Control).";"Study participants should self-report race,
with race being asked about after ethnicity.
(The FDA guidance suggests “that individuals be permitted to designate a multiracial identity”. “Check all that apply” at the time of collection.)";"The categories listed in the FDA Guidance
are as follows:
-American Indian or Alaska Native
-Asian
-Black or African American*
-Native Hawaiian or Other Pacific Islander
 - White
*For studies where data are collected outside the US, the recommended categories are the same except for “Black” instead of “Black or African American”.
If more detailed characterizations of race or ethnicity are collected to enhance data quality and consistency, it is recommended that they be “collapsible” up to the five minimum designations for race, as well as the two categories for reportable ethnicity, as needed for reporting to FDA under its guidance. When more detailed categorizations are desired, the use of race and vocabulary tables located within Health Level Seven’s Reference Information
Model Structural Vocabulary Tables is recommended, as they are designed to
collapse up in this manner.";"Recommended/
Conditional";;
DS;1;Trial Epoch;EPOCH;"Trial epoch (e.g., trial cycle, phase,
end of study, etc.) for which subject disposition is being collected.";" (Typically, the trial epoch will be pre-
printed on the CRF as the title of the page;
however, for those companies whose standard CRF module includes a “pick- list” of epochs, the following instruction is given).
Check the <epoch, or insert more appropriate wording> for which disposition is being recorded.";"Typically, the trial epoch will be pre-
printed on the CRF as the title of the page;
however, some companies have a standard CRF module that includes a “pick-list” of epochs.
NOTE: See SDTMIG for further information regarding EPOCH.";"Recommended/
Conditional";;
DS;3;"Date of Completion or
Discontinuation";DSSTDAT;"The date that the subject completed the
selected trial epoch, or the date that the subject discontinued from the selected trial epoch, using the CDASH
recommended collection date format.";"Record the date that the subject completed
the <epoch, or insert more appropriate wording> as defined in the protocol and/or CRF Completion Instructions using the
CDASH recommended collection date format. If the subject did not complete the
<epoch, or insert more appropriate wording>, record the date as defined in the
protocol and/or CRF Completion
Instructions using the CDASH- recommended date format (e.g., 08-AUG-
2008)
.";"Define in the protocol and/or CRF
Completion Instructions the criteria for completion of each trial epoch for which a disposition CRF will be provided. Define
also the date of completion or discontinuation.
Only collect the date of completion or discontinuation on the disposition CRF module if the same information is not being collected on another CRF module. For example, if the date of the last dose is defined to mark the end of the Treatment Phase epoch, and is collected on the Exposure form, then this field would not be collected on the Disposition CRF module. If not collected elsewhere, this variable should be collected on the Disposition CRF
module.
For the SDTM-based dataset, the SDTMIG variable DSSTDTC is derived by concatenating CDASH Date and Time of Completion or Discontinuation (if time is collected) into DSSTDTC using the ISO
8601 format.";"Recommended /
Conditional";;
DS;4;Time of Completion or Discontinuation;DSSTTIM;"	The time that the subject completed the selected trial epoch, or the time that the subject discontinued from the selected trial epoch.";"Record the time (as complete as possible) that the subject completed the selected trial 
epoch as defined in the protocol and/or CRFCompletion Instructions. If the subject did 
not complete the selected trial epoch, record the time (as complete as possible) as 
defined in the protocol and/or CRF Completion Instructions. 
. 
 ";"Define in the protocol and/or CRF
Completion Instructions the criteria for
completion of each trial epoch for which a
disposition CRF will be provided. Define
also the date of completion or
discontinuation. Collecting the time of
completion or discontinuation is only
appropriate if it can be realistically
determined and if there is a scientific reason
for needing to know this level of detail.
Typically, it is not recommended that a time
be collected unless the subject is under the
direct care of the site at the time of the
event.
Only collect the time of completion or
discontinuation on the disposition CRF
module if the same information is not being
collected on another CRF module. For
example, if the time of the last dose is
defined to mark the end of the Treatment
Phase epoch, and is collected on the Drug
Exposure form, then this field would not be
collected on the Disposition CRF module.
For the SDTM-based dataset, the
SDTMIG variable DSSTDTC is derived by
concatenating CDASH Date and Time of
Completion or Discontinuation (if time is
collected) into DSSTDTC using the ISO
8601 format.";Optional;;
DS;5;Was treatment unblinded by the site?;DSUNBLND;"Identifies in a blinded trial whether or not the subject’s blind was broken by the site.
Was the subject’s treatment assignment unblinded by the site?";"Was the subject’s treatment assignment
unblinded by the site?";None;Optional;;
DS;6;Will the subject continue?;DSCONT;Plan for subject continuation to the next phase of the trial or another related trial at the time of completion of the CRF.;"To the best of your knowledge, record if the
subject will be continuing to <the next
phase of this trial or another related trial>
(sponsor to specify as appropriate).";Sponsor should specify what the next phase of the trial or the related trial is.;Optional;;
DS;7;Next trial epoch or new trial subject will be entering;DSNEXT;Identifies the trial epoch or new trial in which the subject will participate.;"Record the trial <epoch or trial identifier>
(sponsor to specify as appropriate) if the
subject is continuing.";"Sponsor should specify what the next phase
of the trial or the related trial is.";Optional;;
DA;1;"Date Study Treatment
Dispensed";DADDAT;Date the study treatment was dispensed.;"Record the exact date the study treatment
was dispensed, using the CDASH- recommended date format (e.g., 08-AUG-
2008).  Best Practice
section.";"The date study treatment dispensed should
be recorded for each dispensation for a study with multiple periods or multiple
products dispensed.
For the SDTM-based dataset, the SDTMIG variable DADTC is derived by putting the CDASH Date Study Treatment Dispensed into DADTC using the ISO
 8601 format.";"Recommended /
Conditional";;
DA;2;"Study Treatment
Dispensed or Returned";DATEST;"Verbatim name, corresponding to the
topic variable, of the test or examination used to obtain the drug accountability assessment (e.g., dispensed, returned).
{DATEST and DATESTCD} (See
Section 2.2.)";Not applicable.;"Note: DATEST must be used in concert
with DAORRES and DAORRESU to describe these distinct pieces of data.";"Highly
Recommended";;
DA;3;"Results of Study
Treatment Dispensed or Returned";DAORRES;"Result of the Drug Accountability
assessment as originally dispensed (i.e., actual amount).";Record the actual amount of study treatment dispensed.;"For a study with multiple periods or
multiple products dispensed, drug accountability should be assessed for each
dispensation. In this case, a sequence
number or a group ID should be used to tie together a block of related records and to link dispensed product to returned product.";"Highly
Recommended";;
DA;5;"Date Study Treatment
Returned";DARDAT;"Date that the study treatment was
returned.";"Record the exact date the study treatment
was returned, using the CDASH- recommended date format (e.g., 08-AUG-
2008). .";"The date study treatment returned should
be recorded for each dispensation for a study with multiple periods or multiple products dispensed. If there is only one dose dispensed at a single time the collection of this data are not applicable.
For the SDTM-based dataset, the SDTMIG variable DADTC is derived by putting the CDASH Date Study Treatment Returned into DADTC using the ISO 8601 format.";"Recommended /
Conditional";;
DA;6;"Study Treatment
Category";DACAT;"Used to define a categorization level for
a group of related records.";"Record the type of study treatment
dispensed/returned (i.e., Study Medication, Comparator, Placebo).";Not applicable.;Optional;;
DA;7;"Study Treatment Sub-
category";DASCAT;"Used to define a further categorization
level for a group of related records.";"Record the name of the study treatment
dispensed/returned (i.e., Drug A, Drug B, Placebo).";Not applicable.;Optional;;
EG;4;Date of ECG;EGDAT;Date of ECG.;"Record the date ECG was done using the
CDASH-recommended date format (e.g.,
08-AUG-2008).
.";"A complete date is expected for ECGs
that occur during the study.
The date of collection may be derived from the date of visit and if so, a separate assessment date field is not required.
For the SDTM-based dataset, the SDTMIG variable EGDTC is derived by concatenating CDASH Start Date and Time (if time is collected) into EGDTC using the ISO 8601 format.";"Highly
Recommended";;
EG;5;Planned Time Point;EGTPT;"Text description of planned time point
when measurements should be taken for use when multiple sequential
assessments are done.";"Record the time point labels for when the
ECG test should be taken, if not pre-printed on the CRF.";"Planned time point would be needed to
differentiate for multiple sequential assessments.
It is recommended that time points should be pre-printed on the CRF rather than collected in a field that requires the site to enter text.
If ECG is not being done at multiple time points within a visit, do not include this item on the CRF.";"Recommended /
Conditional";;
EG;6;Time of ECG;EGTIM;Time of ECG.;"Record the time the ECG was done (as
complete as possible).
.";"Especially important when multiple
assessments are done on one day.
For the SDTM-based dataset, the SDTMIG variable EGDTC is derived by concatenating CDASH Date and Time of ECG (if time is collected) into EGDTC using the ISO 8601 format.";"Recommended /
Conditional";;
EG;8;Test Result;EGORRES;"Result of the measurement or finding as
originally received or collected.";"Record test results, interpretations or
findings.";"Both quantitative results and interpretive
findings or summaries may be recorded here.";"Highly
Recommended";;
EG;11;ECG Reference ID;EGREFID;Internal or external identifier.;Record the identifier number assigned.;"This can be used to confirm that the
appropriate data record is present in the electronic transfer if this reference ID
happens to be available to the site at the time of collection. It can also be used to link the clinical significance assessment to the proper record in the electronic data.
(e.g., UUID for external waveform file, session number automatically generated
by electronic equipment)."; Optional;;
EX;1;Start Date;EXSTDAT;Start date of treatment.;"Record the exact date of the study treatment
administration using the CDASH- recommended date format (e.g., 08-AUG-
2008).  Best Practice
section.";"Date when constant dosing interval of the
study treatment started or single administration occurred.
For the SDTM-based dataset, the SDTMIG variable EXSTDTC is derived by concatenating CDASH Start Date and Time of treatment (if time is collected) into EXSTDTC using the ISO 8601 format.";"Highly
Recommended";;
EX;2;Start Time;EXSTTIM;Start time of treatment. (Note: If collected, will be used to derive EXSTDTC.);"Record the time (as complete as possible)
when administration of study treatment started.   ";"Time when study treatment period started.
For the SDTM-based dataset, the SDTMIG variable EXSTDTC is derived by concatenating CDASH Start Date and Time of treatment (if time is collected) into EXSTDTC using the ISO 8601 format.";"Recommended /
Conditional";;
EX;3;End Date;EXENDAT;End date of treatment.;"Record the end date or last date of
administration of study treatment using the
CDASH-recommended date format (e.g., 08- AUG-2008). .";"Date when study treatment period
stopped.
If start date and end date are not expected to be on the same date, the end date is required. If the trial design indicates that the start and end date are on the same day, the end date is not required since it can be assigned to be equal to the start date.
For the SDTM-based dataset, the SDTMIG variable EXENDTC is derived by concatenating CDASH End Date and Time of treatment (if time is collected) into EXENDTC using the ISO 8601 format.";"Recommended /
Conditional";;
EX;4;End Time;EXENTIM;"End time of treatment. (Note: If collected,
will be used to derive EXENDTC.)";"Record the time, (as complete as possible)
when study treatment administration stopped (e.g., for infusions this is the time when the infusion ended).
.";"Time when study treatment “constant
dosing interval” ended.
For the SDTM-based dataset, the SDTMIG variable EXENDTC is derived by concatenating CDASH End Date and Time of treatment (if time is collected) into EXENDTC using the ISO 8601 format.";"Recommended /
Conditional";;
EX;5;Dose Amount;EXDOSE;Dose per administration.;"Record the dose or amount of study treatment that was administered to/taken by the subject in the period recorded; from the start
date/time to the end date/time inclusive.";" Dose or amount taken for single
administration of study treatment or per constant dosing interval recorded.
Dose must be collected if it cannot be derived via other methods (e.g., derived from randomization data).";"Recommended /
Conditional";;
EX;7;"Study Treatment
Identification Number";EXLOT;"EXLOT = Lot Number of the EXTRT
product.";"Record the reference number that appears on
the container holding the study treatment
(e.g., Lot Number).";"Reference number that appears on the
container holding the study treatment.
Study Treatment Identification Number is a unique number, which provides
mapping to Lot Number and possibly the randomization schema.
In open label studies, the reference number on the study treatment container could represent an actual Lot Number and should be stored using EXLOT.";Optional;;
EX;8;"Study Treatment
Name";EXTRT;"Name of the intervention treatment -
usually the verbatim name of the study treatment given per single administration
or during the “constant dosing interval”
for the observation.";Record the name of study treatment.;"Name of study treatment that was
administered to the subject.
This must be collected if it cannot be derived.
Variable must always be present in the underlying database, however, it may not be populated until after unblinding.";"Recommended /
Conditional";;
EX;9;Dose Adjusted?;EXDOSADJ;Confirmation of dose adjustment.;"Select either “Yes” or “No” to indicate
whether there was a change in dosing.";"Will provide a definitive response
regarding dose changes.";Optional;;
EX;10;"Reason for Dose
Adjustment";EXADJ;"Describes reason or explanation of why
a dose is adjusted – used only when an adjustment is represented in EXPOSURE dataset. May be used for
variations from protocol-specified doses, or changes from expected doses.";"If there was a change in dosing, record the
reason for change.";"Captures reason dose was changed /
modified. The reason may be chosen from a select list or entered as free text. The list could include the values: escalated, decrease, delay or interrupted.";Optional;;
EX;14;"Duration of
Interruption";EXINTP;Duration of the treatment interruption.;Record the duration of treatment interruption.;"Duration of treatment interruption.
In some situations, the duration of the
interruption may be calculated from the
administration start and end times
recorded elsewhere in the CRF.";Optional;;
EX;16;Total Volume Administered;EXVOLT;Exposure volume amount.;Record the total volume that was administered/given to the subject.;Administration volume that was given to the subject.;Optional;;
EX;18;Flow Rate;EXFLRT;Rate of infusion.;"Record the Rate of Infusion (e.g., 10 mL/min.
Record “10”as the infusion rate).";Infusion rate can be used to derive dose.;Optional;;
EX;20;Planned Time Point;EXTPT;Planned time point name.;"Record the planned time point of study treatment administration (e.g., 5 minutes post
Dose).";"Indicates the planned time point of study treatment administration (e.g., 5 minutes
post dose).";Optional;;
EX;21;Did subject complete full course of study Med?;EXMEDCMP;Confirmation point for exposure.;Select either “Yes” or “No” to indicate whether subject has completed the full course of treatment.;Depending on how the study treatment details are collected via the CRF/ eCRF, it may be possible to derive those data.;Optional;;
EX;22;Planned Dose;EXPDOSE;Planned dose per administration.;Record the dose the subject was scheduled to receive.;Important note:  This field must be used in conjunction with “actual dose” EXDOSE since this field captures the planned dose rather than the dose the subject actually received.;Optional;;
IE;2;Criterion Identifier3;IETESTCD;"The identifier associated with the
criterion that the subject did not meet. This must be a unique identifier that
corresponds to a specific entry criterion4.";"If “No”, enter the identifying code for each
criterion not met. Record this only for the criterion / criteria that this subject did not meet5.
Paper: Record the criterion identifier from the list of inclusion/ exclusion criteria provided by the sponsor.
EDC: Select the criterion from the pick-list.";"This field is required to appear on the
CRF, but may be null if all criteria are met.
Multiple responses should be allowed on
CRF.
CDASH recommends that the sponsor determine how many lines are needed on the CRF based on their experience and maximum allowed. This would probably be only 2 or 3 for most studies.";"Highly
Recommended";;
IE;3;Criterion;IETEST;"The wording of an inclusion or
exclusion criterion.";EDC: Verify the wording of this criterion.;"EDC: The primary use of this field would
be on an eCRF in an EDC system. This field could be automatically populated
when the Criterion Identifier is populated, and then be verified by the PI to ensure the
right Identifier was selected.
Paper: The monitoring process should include a cross-verification of entry criteria against the medical records for each subject to ensure that any criteria not met were recorded on the CRF.";Optional;;
IE;4;"Inclusion or
Exclusion?";IECAT;"Specifies whether the criterion is
inclusion or exclusion.";"Record whether the criterion that this subject
did not meet was “Inclusion” or “Exclusion”.
Checkbox: Check “Inclusion” or
“Exclusion”.";"Only records for criteria that are not met
appear in the IE SDTMIG domain and for those records IECAT must also be
populated.
This criterion category may be collected on the CRF in a checkbox format, or, it may be included as part of the Criterion Identifier (e.g., I01, E01), or derived from the inclusion / exclusion criteria in the Trial Inclusion (TI) trial dataset, or other protocol definitions external to the clinical database when a unique criterion identifier is recorded in the IETESTCD field."; Optional;;
LB;1;Lab Status;LBPERF;"Status of whether or not lab sample was
collected or measurement performed.";"Indicate whether or not lab sample was
collected or measurement performed.";"This may be implemented for an entire
panel, or on a test-by-test basis. This is intended to be used as a data management tool to verify that missing results are confirmed missing.";"Highly
Recommended";;
LB;2;Date of Collection;LBDAT;Date of sample collection.;"Record the date when sample collection
occurred using the CDASH-recommended date format (e.g., 08-AUG-2008).
For more details see Best Practice
Recommendations.";"A complete date is expected.
The date of collection may be derived from the date of visit and if so, a separate assessment date field is not required.
For the SDTM-based dataset, the SDTMIG variable LBDTC is derived by concatenating CDASH Date and Time of collection (if time is collected) into LBDTC using the ISO 8601 format.";"Highly
Recommended";;
LB;3;Time of Collection;LBTIM;"Time of sample collection. (Note: If collected,
will be used to derive LBDTC.)";"Record time of collection (as complete as
possible).
For more details see Best Practice
Recommendations.";"Especially important when multiple
assessments are done on one day.
For the SDTM-based dataset, the SDTMIG variable LBDTC is derived by concatenating CDASH Date and Time of collection (if time is collected) into LBDTC using the ISO 8601 format.";"Recommended/
Conditional";;
LB;4;Panel Name;"LBCAT
LBSCAT";"Type of draw / category / panel name.
Used to define a category of related records.";"Record the lab test category, if not pre-
printed on the CRF.";"Included as needed for clarity (e.g.,
HEMATOLOGY, URINALYSIS, CHEMISTRY).";"Recommended/
Conditional";;
LB;5;Planned Time Point;LBTPT;"Text description of planned time point
when measurements should be taken for use when multiple sequential
assessments are done.";"Record the planned time point labels for the
lab test, if not pre-printed on the CRF.";"Planned time point would be needed to
differentiate for multiple sequential assessments.
It is recommended that time points should be pre-printed on the CRF rather than collected in a field that requires the site to enter text.";"Recommended/
Conditional";;
LB;6;"Protocol-defined
testing conditions met";LBCOND;"Condition imposed on the subject for
testing defined in the protocol (e.g., fasting).";"Record whether protocol defined testing
conditions were met.";"The specific testing conditions required
should be pre-printed on the CRF, such as
“ Did subject meet fasting requirements?”. Results may be affected by whether
conditions for testing were properly met
(e.g., fasting).
This may not be relevant for all tests.
For the SDTM-based dataset, the SDTMIG variable LBFAST could be derived from LBCOND.";"Recommended/
Conditional";;
LB;7;Sample Status;LBSPCCND;"Free or standardized text describing the
condition of the specimen.";Record condition of sample.;"Results may be affected by whether
conditions for sample were properly met
(e.g., HEMOLYZED, ICTERIC, LIPEMIC)";"Recommended/
Conditional";;
LB;9;Test Result;LBORRES;"Result of the measurement or finding
as originally received or collected.";Record test results.;Key data collected.;"Highly
Recommended";;
LB;10;Units;LBORRESU;"Original units in which the data were
collected.";"Record the units of the lab test, if not pre-
printed on the CRF or captured in an external “lab normal” file.";May be included if not standardized.;"Highly
Recommended";;
LB;11;"Reference Range
Lower Limit
Numeric Value";LBORNRLO;"The lowest continuous numeric value
of a given lab result expected in the population of interest.
See SDTMIG for additional information.";"Record the lower limit of the reference
range of the lab test.";"LBORNRLO and LBORNRHI should be
populated only for continuous results; LBSTNRC should be populated only for
 non-continuous results. These data may
be obtained from the lab or the electronic equipment.
These data could be derived from a site
or lab specific set of normal ranges stored in a look up table.
NOTE: See SDTMIG for details on mapping on selecting the proper variable name.";"Recommended/
Conditional";;
