Code;Codelist Code;Codelist Extensible (Yes/No);Codelist Name;CDISC Submission Value;CDISC Preferred Term;CDISC Synonym(s);CDISC Definition;NCI Preferred Term;
C49694;C67152;;Trial Summary Parameter Test Name;Planned Maximum Age of Subjects;AGEMAX;Planned Maximum Age of Subjects;The anticipated maximum age of the subjects to be entered in a clinical trial. (NCI);Planned Maximum Age of Subjects;
C49693;C67152;;Trial Summary Parameter Test Name;Planned Minimum Age of Subjects;AGEMIN;Planned Minimum Age of Subjects;The anticipated minimum age of the subjects to be entered in a clinical trial. (NCI);Planned Minimum Age of Subjects;
C20587;C67152;;Trial Summary Parameter Test Name;Age Group;AGESPAN;Age Group;Subgroups of populations based on age. (NCI);Age Group;
C50400;C67152;;Trial Summary Parameter Test Name;Age Unit;AGEU;Age Unit;Those units of time that are routinely used to express the age of a person. (NCI);Age Unit;
C25488;C67152;;Trial Summary Parameter Test Name;Dose per Administration;DOSE;Dose per Administration;The amount of drug administered to a patient or test subject at one time or the total quantity administered. [AMA Manual of Style] (CDISC Glossary);Dose;
C49697;C67152;;Trial Summary Parameter Test Name;Trial Length;LENGTH;Trial Length;The anticipated length of a clinical trial measured as a unit of time. (NCI);Trial Length;
C49692;C67152;;Trial Summary Parameter Test Name;Planned Number of Subjects;PLANSUB;Planned Number of Subjects;The number of subjects entered in a clinical trial. (NCI);Planned Subject Number;
C25196;C67152;;Trial Summary Parameter Test Name;Trial is Randomized;RANDOM;Trial is Randomized;"The process of assigning trial subjects to treatment or control groups using an element of chance to determine the assignments in order to reduce bias. NOTE: Unequal randomization is used to allocate subjects into groups at a differential rate; for example, three subjects may be assigned to a treatment group for every one assigned to the control group. [ICH E6 1.48] See also balanced study. (CDISC glossary)";Randomization;
C38114;C67152;;Trial Summary Parameter Test Name;Route of Administration;ROUTE;Route of Administration;The course by which a substance was administered in order to reach the site of action in the body.;Route of Administration;
C49696;C67152;;Trial Summary Parameter Test Name;Sex of Participants;SEXPOP;Sex of Participants;The specific sex, either male, female, or mixed of the subject group being studied. (NCI);Sex of Study Group;
C49698;C67152;;Trial Summary Parameter Test Name;Study Stop Rules;STOPRULE;Study Stop Rules;The rule, regulation and/or condition that determines the point in time when a clinical trial will be terminated. (NCI);Study Stop Rules;
C49658;C67152;;Trial Summary Parameter Test Name;Trial Blinding Schema;TBLIND;Trial Blinding Schema;The name of a code list that contains terms to define the type of blinding for the trial. (NCI);Trial Blinding Schema;
C49647;C67152;;Trial Summary Parameter Test Name;Control Type;TCNTRL;Control Type;Comparator against which the study treatment is evaluated (e.g., concurrent (placebo, no treatment, dose-response, active), external (historical, published literature).;Control Type;
C49650;C67152;;Trial Summary Parameter Test Name;Diagnosis Group;TDIGRP;Diagnosis Group;A grouping of individuals on the basis of a shared procedure or disease, or lack thereof (e.g. healthy volunteers, type 2 diabetic subjects, subjects with renal cell cancer). Standardized naming systems are available that define the groups within which a subject should be placed. (NCI);Diagnosis Group;
C49652;C67152;;Trial Summary Parameter Test Name;Trial Indication Type;TINDTP;Trial Indication Type;The name of a code list that contains terms to define the type of trial, e.g. cure or prevention. (NCI);Trial Indication Type;
C49802;C67152;;Trial Summary Parameter Test Name;Trial Title;TITLE;Trial Title;The name of a clinical trial. (NCI);Trial Title;
C48281;C67152;;Trial Summary Parameter Test Name;Trial Phase Classification;TPHASE;Trial Phase Classification;"Clinical trials are broken into three or four phases: Phase I tests a new drug or treatment for safety in a small group; Phase II expands the study to a larger group of people; Phase III expands the study to an even larger group of people to measure whether the treatment actually benefits patients, and whether its benefits exceed its risks; and Phase IV takes place after the drug or treatment has been licensed and marketed. (NCI)";Trial Phase;
C49660;C67152;;Trial Summary Parameter Test Name;Trial Type;TTYPE;Trial Type;The type of clinical trial performed e.g. efficacy, safety. (NCI);Trial Type;
C66739;;Yes;Trial Type;TTYPE;TTYPE;Trial Type;The type of clinical trial performed e.g. efficacy, safety. (NCI);CDISC SDTM Trial Type Terminology;
C49664;C66739;;Trial Type;BIO-AVAILABILITY;BIO-AVAILABILITY;;A study of the degree to which or rate at which a drug or other substance is absorbed or becomes available at the site of physiological activity after administration. (NCI);Bioavailability Study;
C49665;C66739;;Trial Type;BIO-EQUIVALENCE;BIO-EQUIVALENCE;;A study most often used to compare the efficacy of different formulations to treat a given disease. It is the testing of an old versus a new formulation in healthy volunteers or subjects with the disease under study and usually in one dose. (NCI);Therapeutic Equivalency Study;
C49666;C66739;;Trial Type;EFFICACY;EFFICACY;;A study of the relative therapeutic efficacy of treatment of a disease. Usually this is a Phase II or III study. (NCI);Efficacy Study;
C49662;C66739;;Trial Type;PHARMACODYNAMIC;PHARMACODYNAMIC;;A study of the biochemical and physiological effect of a drug and the mechanism of drug action and the relationship between drug concentration and effect. (NCI);Pharmacodynamic Study;
C39493;C66739;;Trial Type;PHARMACOECONOMIC;PHARMACOECONOMIC;;A study that assesses the value associated with a given drug in therapeutic and economic terms. This type of study is multidisciplinary in nature and takes into consideration the social and economic costs (resource utilization costs including direct, indirect, and intangible costs) of drug therapy in addition to its direct therapeutic benefits. Analyses relate the difference in therapeutic benefits to the difference in costs between treatment alternatives. (NCI);Pharmacoeconomic Study;
C49661;C66739;;Trial Type;PHARMACOGENOMIC;PHARMACOGENOMIC;;A study of identification and analysis of genomic variations that affect the efficacy of a drug. Pharmacogenomic studies can potentially be predictive of an individual's drug-response or adverse reactions or susceptibility to iatrogenic disorders, and may also reveal new targets that can help in the design of new drugs. (NCI);Pharmacogenomic Study;
C49663;C66739;;Trial Type;PHARMACOKINETIC;PHARMACOKINETIC;;A study of the process by which a drug is absorbed, distributed, metabolized, and eliminated by the body. (NCI);Pharmacokinetic Study;
C49667;C66739;;Trial Type;SAFETY;SAFETY;;A study of the relative safety of treatment of a disease. Usually this is a Phase I or II trial. (NCI);Safety Study;
C66770;;Yes;Units for Vital Signs Results;VSRESU;VSRESU;Units for Vital Signs Results;The unit used to record and describe the result of a test investigating a vital sign. (NCI);CDISC SDTM Unit for Vital Sign Result Terminology;
C25613;C66770;;Units for Vital Signs Results;%;%;Percentage;A fraction or ratio with 100 understood as the denominator. (NCI);Percentage;
C49673;C66770;;Units for Vital Signs Results;BEATS/MIN;BEATS/MIN;Beats per Minute;The number of heartbeats measured per minute time. (NCI);Beats per Minute;
C49674;C66770;;Units for Vital Signs Results;BREATHS/MIN;BREATHS/MIN;Breaths per Minute;The number of breaths (inhalation and exhalation) taken per minute time. (NCI);Breaths per Minute;
C42559;C66770;;Units for Vital Signs Results;C;C;Degree Celsius;A unit of temperature of the temperature scale designed so that the freezing point of water is 0 degrees and the boiling point is 100 degrees at standard atmospheric pressure. The current official definition of the Celsius sets 0.01 C to be at the triple point of water and a degree to be 1/273.16 of the difference in temperature between the triple point of water and absolute zero. One degree Celsius represents the same temperature difference as one Kelvin. (NCI);Degree Celsius;
C49668;C66770;;Units for Vital Signs Results;cm;cm;Centimeter;A basic unit of length in the former CGS version of metric system, equal to one hundredth of a meter or approximately 0.393 700 787 inch. (NCI);Centimeter;
C44277;C66770;;Units for Vital Signs Results;F;F;Degree Fahrenheit;The Fahrenheit temperature scale is named after the German physicist Gabriel Fahrenheit (1686-1736), who proposed it in 1724. In this scale, the freezing point of water is 32 degrees Fahrenheit and the boiling point is 212 degrees, placing the boiling and melting points of water 180 degrees apart. In this scale a degree Fahrenheit is 5/9ths of a Kelvin (or of a degree Celsius), and minus 40 degrees Fahrenheit is equal to minus 40 degrees Celsius. (NCI);Degree Fahrenheit;
C48155;C66770;;Units for Vital Signs Results;g;g;Gram;A metric unit of mass equal to one one thousandth of a kilogram. (NCI);Gram;
C48500;C66770;;Units for Vital Signs Results;IN;IN;Inch;A traditional unit of length equal to 2.54 centimeters. (NCI);Inch;
C28252;C66770;;Units for Vital Signs Results;kg;kg;Kilogram;The basic SI unit of mass. It is defined as the mass of an international prototype in the form of a platinum-iridium cylinder kept at Sevres in France. It is the only basic unit still defined in terms of a material object, and also the only one with a prefix [kilo] already in place. A kilogram is equal to 1,000 grams and 2.204 622 6 pounds. (NCI);Kilogram;
C49671;C66770;;Units for Vital Signs Results;kg/m2;kg/m2;Kilogram Per Square Meter;The SI derived unit of spread rate of a substance by mass, used also as a measure of area density. (NCI);Kilogram Per Square Meter;
C48531;C66770;;Units for Vital Signs Results;LB;LB;Pound;A traditional unit of mass. By international agreement, one avoirdupois pound is equal to exactly 0.453 592 37 kilogram, 16 ounces, or 1.215 28 troy pounds. (NCI);Pound;
C42569;C66770;;Units for Vital Signs Results;m2;m2;Square Meter;"The SI unit of area measurement equal to a square whose sides are one meter long. Square meter is equal to 10,000 square centimeters; 0.01 ares; 1.196 square yards; 10.76 square feet; 1550 square inches. (NCI)";Square Meter;
C49670;C66770;;Units for Vital Signs Results;mmHg;mmHg;Millimeter of Mercury;A unit of pressure equal to 0.001316 atmosphere and equal to the pressure indicated by one millimeter rise of mercury in a barometer at the Earth's surface. (NCI);Millimeter of Mercury;
C42554;C66770;;Units for Vital Signs Results;ohm;ohm;ohm;A unit of electrical resistance equal to the resistance between two points on a conductor when a potential difference of one volt between them produces a current of one Ampere. Ohm is also used to measure impedance and reactance for complex resistance. A measurement in ohms is the reciprocal of a measurement in Siemens. (NCI);Ohm;
C66741;;Yes;Vital Signs Test Code;VSTESTCD;VSTESTCD;Vital Signs Test Code;The name given to the test that analyzes a particular set of vital signs including temperature, respiratory rate, heart beat (pulse), and blood pressure. (NCI);CDISC SDTM Vital Sign Terminology by Code;
C16358;C66741;;Vital Signs Test Code;BMI;BMI;Body Mass Index;A general indicator of the body fat an individual is carrying based upon the ratio of weight to height. (NCI);Body Mass Index;
C12472;C66741;;Vital Signs Test Code;BODYFAT;BODYFAT;Adipose Tissue;A specialized form of connective tissue consisting primarily of adipocytes (fat cells), surrounded by a meshwork of collagen fibers.;Adipose Tissue;
C25157;C66741;;Vital Signs Test Code;BSA;BSA;Body Surface Area;A measure of the 2-dimensional extent of the body surface (i.e., the skin). Body surface area (BSA) can be calculated by mathematical formula or from a chart that relates height to weight. BSA is often an important factor in dosing. (NCI);Body Surface Area;
C25299;C66741;;Vital Signs Test Code;DIABP;DIABP;Diastolic Blood Pressure;The blood pressure after the contraction of the heart while the chambers of the heart refill with blood. (NCI);Diastolic Blood Pressure;
C49680;C66741;;Vital Signs Test Code;FRMSIZE;FRMSIZE;Body Frame Size;The categorization of a person's body frame into small, medium and large based on the measurement of wrist circumference or the breadth of the elbow. (NCI);Body Frame Size;
C25347;C66741;;Vital Signs Test Code;HEIGHT;HEIGHT;Height;"The vertical measurement or distance from the base to the top of an object; the vertical dimension of extension. (NCI)";Height;
C49677;C66741;;Vital Signs Test Code;HR;HR;Heart Rate;The number of heartbeats per unit of time, usually expressed as beats per minute. (NCI);Heart Rate;
C49679;C66741;;Vital Signs Test Code;MAP;MAP;Mean Arterial Pressure;The mean pressure of the blood within the arterial circulation. The arterial pressure may be directly measured by insertion of an intra-arterial catheter connected to a transducer. The mean arterial pressure (MAP) can be calculated by subsequent analysis of the waveform. MAP can be approximated without an invasive procedure using the following formula: diastolic pressure plus 1/3 of the pulse pressure, where pulse pressure is systolic pressure - diastolic pressure. (NCI);Mean Arterial Pressure;
C49676;C66741;;Vital Signs Test Code;PULSE;PULSE;Pulse Rate;The rate of the pulse as observed in an artery, expressed as beats per minute. It can be measured at several anatomical sites, including the wrist, neck, temple, groin, behind the knees, or on top of the foot. (NCI);Pulse Rate;
C49678;C66741;;Vital Signs Test Code;RESP;RESP;Respiratory Rate;The rate of breathing (inhalation and exhalation) measured within in a unit time, usually expressed as breaths per minute. (NCI);Respiratory Rate;
C25298;C66741;;Vital Signs Test Code;SYSBP;SYSBP;Systolic Blood;The blood pressure during the contraction of the left ventricle of the heart.;Systolic Blood Pressure;
C25206;C66741;;Vital Signs Test Code;TEMP;TEMP;Temperature;The property of a body or region of space that determines whether or not there will be a net flow of heat into it or out of it from a neighboring body or region and in which direction (if any) the heat will flow, perceptible by living organism as a somatic sensation of cold or heat. It is a measure of the average translational kinetic energy associated with the disordered microscopic motion of atoms and molecules. Temperature is measured in one of the three standard temperature scales: Celsius, Kelvin, and Fahrenheit. (NCI);Temperature;
C25208;C66741;;Vital Signs Test Code;WEIGHT;WEIGHT;Weight;The vertical force exerted by a mass as a result of gravity. (NCI);Weight;
C67153;;Yes;Vital Signs Test Name;VSTEST;VSTEST;Vital Signs Test Name;The name given to the test that analyzes a particular set of vital signs including temperature, respiratory rate, heart beat (pulse), and blood pressure. (NCI);CDISC SDTM Vital Sign Terminology by Name;
C16358;C67153;;Vital Signs Test Name;Body Mass Index;BMI;Body Mass Index;A general indicator of the body fat an individual is carrying based upon the ratio of weight to height. (NCI);Body Mass Index;
C12472;C67153;;Vital Signs Test Name;Adipose Tissue;BODYFAT;Adipose Tissue;A specialized form of connective tissue consisting primarily of adipocytes (fat cells), surrounded by a meshwork of collagen fibers.;Adipose Tissue;
C25157;C67153;;Vital Signs Test Name;Body Surface Area;BSA;Body Surface Area;A measure of the 2-dimensional extent of the body surface (i.e., the skin). Body surface area (BSA) can be calculated by mathematical formula or from a chart that relates height to weight. BSA is often an important factor in dosing. (NCI);Body Surface Area;
C25299;C67153;;Vital Signs Test Name;Diastolic Blood Pressure;DIABP;Diastolic Blood Pressure;The blood pressure after the contraction of the heart while the chambers of the heart refill with blood. (NCI);Diastolic Blood Pressure;
C49680;C67153;;Vital Signs Test Name;Body Frame Size;FRMSIZE;Body Frame Size;The categorization of a person's body frame into small, medium and large based on the measurement of wrist circumference or the breadth of the elbow. (NCI);Body Frame Size;
C25347;C67153;;Vital Signs Test Name;Height;HEIGHT;Height;"The vertical measurement or distance from the base to the top of an object; the vertical dimension of extension. (NCI)";Height;
C49677;C67153;;Vital Signs Test Name;Heart Rate;HR;Heart Rate;The number of heartbeats per unit of time, usually expressed as beats per minute. (NCI);Heart Rate;
C49679;C67153;;Vital Signs Test Name;Mean Arterial Pressure;MAP;Mean Arterial Pressure;The mean pressure of the blood within the arterial circulation. The arterial pressure may be directly measured by insertion of an intra-arterial catheter connected to a transducer. The mean arterial pressure (MAP) can be calculated by subsequent analysis of the waveform. MAP can be approximated without an invasive procedure using the following formula: diastolic pressure plus 1/3 of the pulse pressure, where pulse pressure is systolic pressure - diastolic pressure. (NCI);Mean Arterial Pressure;
C49676;C67153;;Vital Signs Test Name;Pulse Rate;PULSE;Pulse Rate;The rate of the pulse as observed in an artery, expressed as beats per minute. It can be measured at several anatomical sites, including the wrist, neck, temple, groin, behind the knees, or on top of the foot. (NCI);Pulse Rate;
C49678;C67153;;Vital Signs Test Name;Respiratory Rate;RESP;Respiratory Rate;The rate of breathing (inhalation and exhalation) measured within in a unit time, usually expressed as breaths per minute. (NCI);Respiratory Rate;
C25298;C67153;;Vital Signs Test Name;Systolic Blood Pressure;SYSBP;Systolic Blood Pressure;The blood pressure during the contraction of the left ventricle of the heart.;Systolic Blood Pressure;
C25206;C67153;;Vital Signs Test Name;Temperature;TEMP;Temperature;The property of a body or region of space that determines whether or not there will be a net flow of heat into it or out of it from a neighboring body or region and in which direction (if any) the heat will flow, perceptible by living organism as a somatic sensation of cold or heat. It is a measure of the average translational kinetic energy associated with the disordered microscopic motion of atoms and molecules. Temperature is measured in one of the three standard temperature scales: Celsius, Kelvin, and Fahrenheit. (NCI);Temperature;
C25208;C67153;;Vital Signs Test Name;Weight;WEIGHT;Weight;The vertical force exerted by a mass as a result of gravity. (NCI);Weight;
C66742;;No;No Yes Response;NY;NY;No Yes Response;A term that is used to indicate a question with permissible values of yes/no/unknown/not applicable.;CDISC SDTM Yes No Unknown or Not Applicable Response Terminology;
C49487;C66742;;No Yes Response;N;N;No;The non-affirmative response to a question. (NCI);No;
C48660;C66742;;No Yes Response;NA;NOT APPLICABLE;NA;Determination of a value is not relevant in the current context. (NCI);Not Applicable;
C17998;C66742;;No Yes Response;U;UNKNOWN;"U; Unknown";Not known, not observed, not recorded, or refused. (NCI);Unknown;
C49488;C66742;;No Yes Response;Y;Y;Yes;The affirmative response to a question. (NCI);Yes;
C65047;;Yes;Laboratory Test Code;LBTESTCD;LBTESTCD;Laboratory Test Code;Terminology used for Laboratory Tests of the CDISC Standard Data Tabulation Model.;CDISC SDTM Laboratory Test Terminology by Code;
C74797;C65047;;Laboratory Test Code;ANISO;ANISO;Anisocytes;A measurement of the inequality in the size of the red blood cells in a whole blood specimen.;Anisocytosis;
C79602;C65047;;Laboratory Test Code;POIKILO;POIKILO;Poikilocytes;A measurement of the odd-shaped erythrocytes in a whole blood specimen.;Poikilocytosis;
C38037;C65047;;Laboratory Test Code;BILI;BILI;Bilirubin;A measurement of the total bilirubin in a biological specimen.;Total Bilirubin;
C38462;C65047;;Laboratory Test Code;APTT;APTT;Activated Partial Thromboplastin Time;A measurement of the length of time that it takes for clotting to occur when reagents are added to a plasma specimen. The test is partial due to the absence of tissue factor (Factor III) from the reaction mixture.;Partial Thromboplastin Time;
C41376;C65047;;Laboratory Test Code;GLUC;GLUC;Glucose;A measurement of the glucose in a biological specimen.;Plasma Glucose Measurement;
C45997;C65047;;Laboratory Test Code;PH;PH;pH;A measure of the acidity or alkalinity of a fluid on a scale of 0 to 14.;pH;
C51946;C65047;;Laboratory Test Code;RBC;RBC;"Erythrocytes; Red Blood Cells";A measurement of the total erythrocytes in a biological specimen.;Erythrocyte Count;
C51947;C65047;;Laboratory Test Code;RETI;RETI;Reticulocytes;A measurement of the reticulocytes in a biological specimen.;Reticulocyte Count;
C51948;C65047;;Laboratory Test Code;WBC;WBC;"Leukocytes; White Blood Cells";A measurement of the leukocytes in a biological specimen.;Leukocyte Count;
C51949;C65047;;Laboratory Test Code;LYM;LYM;Lymphocytes;A measurement of the lymphocytes in a biological specimen.;Lymphocyte Count;
C51951;C65047;;Laboratory Test Code;PLAT;PLAT;Platelet;A measurement of the platelets in a biological specimen.;Platelet Count;
C61019;C65047;;Laboratory Test Code;BUN;BUN;Blood Urea Nitrogen;A measurement of the urea nitrogen in a blood specimen.;Blood Urea Nitrogen Measurement;
C61032;C65047;;Laboratory Test Code;CHOL;CHOL;"Cholesterol; Total Cholesterol";A measurement of the cholesterol in a biological specimen.;Serum Total Cholesterol Measurement;
C61041;C65047;;Laboratory Test Code;HDL;HDL;HDL Cholesterol;A measurement of the high density lipoprotein cholesterol in a biological specimen.;Serum HDL Cholesterol Measurement;
C61042;C65047;;Laboratory Test Code;LDL;LDL;LDL Cholesterol;A measurement of the low density lipoprotein cholesterol in a biological specimen.;Serum LDL Cholesterol Measurement;
C62656;C65047;;Laboratory Test Code;PT;PT;Prothrombin Time;A blood clotting measurement that evaluates the extrinsic pathway of coagulation and is expressed in units of time or percent activity.;Prothrombin Time;
C63321;C65047;;Laboratory Test Code;NEUT;NEUT;Neutrophils;A measurement of the neutrophils in a biological specimen.;Absolute Neutrophil Count;
C64431;C65047;;Laboratory Test Code;ALB;ALB;Albumin;A measurement of the albumin protein in a biological specimen.;Albumin Measurement;
C64432;C65047;;Laboratory Test Code;ALP;ALP;Alkaline Phosphatase;A measurement of the alkaline phosphatase in a biological specimen.;Alkaline Phosphatase Measurement;
C64433;C65047;;Laboratory Test Code;ALT;ALT;"Alanine Aminotransferase; SGPT";A measurement of the alanine aminotransferase in a biological specimen.;Alanine Aminotransferase Measurement;
C64434;C65047;;Laboratory Test Code;AMYLASE;AMYLASE;Amylase;A measurement of the pancreatic enzyme amylase in a biological specimen.;Amylase Measurement;
C64467;C65047;;Laboratory Test Code;AST;AST;Aspartate Aminotransferase: SGOT;A measurement of the aspartate aminotransferase in a biological specimen.;Aspartate Aminotransferase Measurement;
C64469;C65047;;Laboratory Test Code;BACT;BACT;Bacteria;A measurement of the bacteria in a biological specimen.;Bacterial Count;
C64470;C65047;;Laboratory Test Code;BASO;BASO;Basophils;A measurement of the basophils in a biological specimen.;Total Basophil Count;
C64471;C65047;;Laboratory Test Code;BASOLE;BASOLE;Basophils/Leukocytes;A relative measurement (ratio or percentage) of the basophils to leukocytes in a biological specimen.;Basophil To Leukocyte Ratio;
C64481;C65047;;Laboratory Test Code;BILDIR;BILDIR;Direct Bilirubin;A measurement of the conjugated or water-soluble bilirubin in a biological specimen.;Direct Bilirubin Measurement;
C64483;C65047;;Laboratory Test Code;BILIND;BILIND;Indirect Bilirubin;A measurement of the unconjugated or non-water-soluble bilirubin in a biological specimen.;Indirect Bilirubin Measurement;
C64487;C65047;;Laboratory Test Code;BLASTLE;BLASTLE;Blasts/Leukocytes;A relative measurement (ratio or percentage) of the blasts to leukocytes in a biological specimen.;Blast To Leukocyte Ratio;
C64488;C65047;;Laboratory Test Code;CA;CA;Calcium;A measurement of the calcium in a biological specimen.;Calcium Measurement;
C64489;C65047;;Laboratory Test Code;CK;CK;Creatine Kinase;A measurement of the total creatine kinase in a biological specimen.;Creatine Kinase Measurement;
C64490;C65047;;Laboratory Test Code;CKBB;CKBB;Creatine Kinase BB;A measurement of the homozygous B-type creatine kinase in a biological specimen.;Creatine Kinase BB Measurement;
C64491;C65047;;Laboratory Test Code;CKMB;CKMB;Creatine Kinase MB;A measurement of the heterozygous MB-type creatine kinase in a biological specimen.;Creatine Kinase MB Measurement;
C64494;C65047;;Laboratory Test Code;CKMM;CKMM;Creatine Kinase MM;A measurement of the homozygous M-type creatine kinase in a biological specimen.;Creatine Kinase MM Measurement;
C64495;C65047;;Laboratory Test Code;CL;CL;Chloride;A measurement of the chloride in a biological specimen.;Chloride Measurement;
C64545;C65047;;Laboratory Test Code;CO2;CO2;Carbon Dioxide;A measurement of the carbon dioxide gas in a biological specimen.;Carbon Dioxide Measurement;
C64546;C65047;;Laboratory Test Code;COLOR;COLOR;Color;A measurement of the color of a biological specimen.;Color Assessment;
C64547;C65047;;Laboratory Test Code;CREAT;CREAT;Creatinine;A measurement of the creatinine in a biological specimen.;Creatinine Measurement;
C64548;C65047;;Laboratory Test Code;CRP;CRP;C Reactive Protein;A measurement of the C reactive protein in a biological specimen.;C-Reactive Protein Measurement;
C64549;C65047;;Laboratory Test Code;ELLIPCY;ELLIPCY;"Elliptocytes; Ovalocytes";A measurement of the elliptically shaped erythrocytes in a biological specimen.;Elliptocyte Count;
C64550;C65047;;Laboratory Test Code;EOS;EOS;Eosinophils;A measurement of the eosinophils in a biological specimen.;Eosinophil Count;
C64604;C65047;;Laboratory Test Code;EOSLE;EOSLE;Eosinophils/Leukocytes;A relative measurement (ratio or percentage) of the eosinophils to leukocytes in a biological specimen.;Eosinophil To Leukocyte Ratio;
C64605;C65047;;Laboratory Test Code;EPIC;EPIC;Epithelial Cells;A measurement of the epithelial cells in a biological specimen.;Epithelial Cell Count;
C64606;C65047;;Laboratory Test Code;FIBRINO;FIBRINO;Fibrinogen;A measurement of the fibrinogen in a biological specimen.;Fibrinogen Measurement;
C64796;C65047;;Laboratory Test Code;HCT;HCT;Hematocrit;The percentage of a whole blood specimen that is composed of red blood cells (erythrocytes).;Hematocrit;
C64797;C65047;;Laboratory Test Code;MCH;MCH;Ery. Mean Corpuscular Hemoglobin;A quantitative measurement of the mean amount of hemoglobin per erythrocyte in a biological specimen.;Erythrocyte Mean Corpuscular Hemoglobin;
C64798;C65047;;Laboratory Test Code;MCHC;MCHC;Ery. Mean Corpuscular HGB Concentration;A quantitative measurement of the mean amount of hemoglobin per erythrocytes in a specified volume of a biological specimen.;Erythrocyte Mean Corpuscular Hemoglobin Concentration;
C64799;C65047;;Laboratory Test Code;MCV;MCV;Ery. Mean Corpuscular Volume;A quantitative measurement of the mean volume of erythrocytes in a biological specimen.;Erythrocyte Mean Corpuscular Volume;
C64800;C65047;;Laboratory Test Code;RDW;RDW;Erythrocytes Distribution Width;A value derived from mean corpuscular volume and the standard deviation of the red blood cell volume in a whole blood specimen.;Erythrocyte Distribution Width Measurement;
C64801;C65047;;Laboratory Test Code;TEARDCY;TEARDCY;"Dacryocytes; Tear Shaped Erythrocytes";A measurement of dacryocytes in a biological specimen.;Dacryocyte Analysis;
C64802;C65047;;Laboratory Test Code;HPOCROM;HPOCROM;Hypochromia;An observation which indicates that the hemoglobin concentration in a red blood cell specimen has fallen below a specified level.;Hypochromia;
C64803;C65047;;Laboratory Test Code;POLYCHR;POLYCHR;Polychromasia;A measurement of the blue-staining characteristic of newly generated erythrocytes.;Polychromasia;
C64805;C65047;;Laboratory Test Code;INR;INR;Prothrombin Intl. Normalized Ratio;A ratio that represents the prothrombin time for a plasma specimen, divided by the result for a control plasma specimen, further standardized for the International Sensitivity Index of the tissue factor (thromboplastin) used in the test.;International Normalized Ratio of Prothrombin Time;
C64806;C65047;;Laboratory Test Code;VLDL;VLDL;VLDL Cholesterol;A measurement of the very low density lipoprotein cholesterol in a biological specimen.;Serum VLDL Cholesterol Measurement;
C64807;C65047;;Laboratory Test Code;LIPASE;LIPASE;Triacylglycerol Lipase;A measurement of the pancreatic lipase in a biological specimen.;Triacylglycerol Lipase Measurement;
C64809;C65047;;Laboratory Test Code;SODIUM;SODIUM;Sodium;A measurement of the sodium in a biological specimen.;Sodium Measurement;
C64810;C65047;;Laboratory Test Code;NITRITE;NITRITE;Nitrite;A measurement of the nitrite in a urine specimen.;Nitrite Measurement;
C64812;C65047;;Laboratory Test Code;TRIG;TRIG;Triglycerides;A measurement of the triglycerides in a biological specimen.;Triglyceride Measurement;
C64813;C65047;;Laboratory Test Code;TSH;TSH;Thyrotropin;A measurement of the thyrotropin in a biological specimen.;Thyrotropin Measurement;
C64814;C65047;;Laboratory Test Code;URATE;URATE;"Urate; Uric Acid";A measurement of the urate in a biological specimen.;Urate Measurement;
C64815;C65047;;Laboratory Test Code;UREA;UREA;Urea;A measurement of the urea in a biological specimen.;Urea Measurement;
C64816;C65047;;Laboratory Test Code;UROBIL;UROBIL;Urobilinogen;A measurement of the urobilinogen in a biological specimen.;Urobilinogen Measurement;
C64817;C65047;;Laboratory Test Code;VITB12;VITB12;Vitamin B12;A measurement of the Vitamin B12 in a serum specimen.;Vitamin B12 Measurement;
C64818;C65047;;Laboratory Test Code;LYMAT;LYMAT;Lymphocytes Atypical;A measurement of the atypical lymphocytes in a biological specimen.;Atypical Lymphocyte Count;
C64819;C65047;;Laboratory Test Code;LYMATLE;LYMATLE;Lymphocytes Atypical/Leukocytes;A relative measurement (ratio or percentage) of the atypical lymphocytes to leukocytes in a biological specimen.;Atypical Lymphocyte To Leukocyte Ratio;
C64820;C65047;;Laboratory Test Code;LYMLE;LYMLE;Lymphocytes/Leukocytes;A relative measurement (ratio or percentage) of the lymphocytes to leukocytes in a biological specimen.;Lymphocyte To Leukocyte Ratio;
C64821;C65047;;Laboratory Test Code;MACROCY;MACROCY;Macrocytes;A measurement of the macrocytes in a biological specimen.;Macrocyte Count;
C64822;C65047;;Laboratory Test Code;MICROCY;MICROCY;Microcytes;A measurement of the microcytes in a biological specimen.;Microcyte Count;
C64823;C65047;;Laboratory Test Code;MONO;MONO;Monocytes;A measurement of the monocytes in a biological specimen.;Monocyte Count;
C64824;C65047;;Laboratory Test Code;MONOLE;MONOLE;Monocytes/Leukocytes;A relative measurement (ratio or percentage) of the monocytes to leukocytes in a biological specimen.;Monocyte To Leukocyte Ratio;
C64825;C65047;;Laboratory Test Code;MYBLALE;MYBLALE;Myeloblasts/Leukocytes;A relative measure (ratio or percentage) of the myeloblasts to leukocytes in a biological specimen.;Myeloblast To Leukocyte Ratio;
C64826;C65047;;Laboratory Test Code;MYCYLE;MYCYLE;Myelocytes/Leukocytes;A relative measurement (ratio or percentage) of the myelocytes to leukocytes in a biological specimen.;Myelocyte To Leukocyte Ratio;
C64827;C65047;;Laboratory Test Code;NEUTLE;NEUTLE;Neutrophils/Leukocytes;A relative measurement (ratio or percentage) of the neutrophils to leukocytes in a biological specimen.;Neutrophil To Leukocyte Ratio;
